what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385061339715
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385061339748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385061340979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385062576805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385062577707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067650811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067655085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1385067704114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067704124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067704889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067817900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067818513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067867375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067870264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1385067881375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067881386
activated,perspective,org.unicase.ui.unicasecommon,0.5.2,"org.unicase.ui.unicasecommon.common.UnicasePerspective",1385067890631
activated,view,org.eclipse.emf.ecp.navigator,0.9.3,"org.eclipse.emf.ecp.navigator.viewer",1385067890667
activated,view,org.eclipse.emf.emfstore.client.ui,0.9.3,"org.eclipse.emf.emfstore.client.ui.views.RepositoryView",1385067892809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067897725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1385067899441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067899458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385067900251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068026806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068027437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068030617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068031004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068092398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068094851
executed,command,org.eclipse.emf.emfstore.client.ui,0.9.3,"org.eclipse.emf.emfstore.client.ui.repositorybrowser.AddServer",1385068097071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068097083
activated,view,org.eclipse.emf.ecp.navigator,0.9.3,"org.eclipse.emf.ecp.navigator.viewer",1385068097742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068109438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068114763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068114777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068114779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068114786
executed,command,org.eclipse.emf.emfstore.client.ui,0.9.3,"org.eclipse.emf.emfstore.client.ui.importProject",1385068118734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068118738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068151930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068175292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068175308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068175312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068175319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068407283
executed,command,org.eclipse.emf.emfstore.client.ui,0.9.3,"org.eclipse.emf.emfstore.client.ui.importProject",1385068407318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068407324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385068407332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385117968473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385120153277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385120154802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385127677213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385127690686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385127738689
opened,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385127745835
activated,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385127745849
activated,view,org.eclipse.emf.ecp.navigator,0.9.3,"org.eclipse.emf.ecp.navigator.viewer",1385127745865
started,bundle,org.unicase.usecase.edit,1.0.1,"org.unicase.usecase.edit",1385127749750
started,bundle,org.unicase.testcase.edit,1.0.1,"org.unicase.testcase.edit",1385127749750
opened,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385127752791
activated,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385127752808
activated,view,org.eclipse.emf.ecp.navigator,0.9.3,"org.eclipse.emf.ecp.navigator.viewer",1385127752826
opened,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385127766931
activated,editor,org.eclipse.emf.ecp.editor,0.9.3,"org.eclipse.emf.ecp.editor",1385127766946
activated,view,org.eclipse.emf.ecp.navigator,0.9.3,"org.eclipse.emf.ecp.navigator.viewer",1385127766964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385127785412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385127988015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385127988931
